Date,Time,Activity
2022-03-01,5,AtHome_Awake__AM
2022-03-01,5,AtHome_Awake__AM
2022-03-01,5,AtHome_Awake__AM
2022-03-01,5,AtHome_Awake__AM
2022-03-01,5,AtHome_Awake__AM
2022-03-01,5,AtHome_Awake__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
2022-03-01,5,AtHome_Sleeping__AM
